,ID,Updated_name,Population,TotalAgeOvr65,Other_column
16,16,Hennepin,1224763,158332,1066431
83,83,Ramsey,537893,71903,465990
59,59,Dakota,414655,52234,362421
57,57,Anoka,344861,43117,301744
65,65,Washington,250979,33303,217676
56,56,St. Louis,200294,35541,164753
58,58,Stearns,155300,21391,133909
30,30,Olmsted,151685,21498,130187
32,32,Scott,141463,13567,127896
38,38,Wright,131130,15019,116111
78,78,Carver,98799,10302,88497
75,75,Sherburne,92024,9482,82542
50,50,Blue Earth,65767,8451,57316
73,73,Rice,65251,9407,55844
36,36,Crow Wing,63505,13321,50184
3,3,Clay,62040,7875,54165
54,54,Otter Tail,57790,12979,44811
45,45,Chisago,54297,7627,46670
86,86,Winona,50992,7889,43103
22,22,Goodhue,46138,8369,37769
49,49,Beltrami,45847,6724,39123
80,80,Itasca,45237,9683,35554
7,7,Kandiyohi,42577,7448,35129
27,27,Mower,39386,7194,32192
77,77,Benton,39360,5210,34150
24,24,Isanti,38584,5593,32991
40,40,Douglas,36891,7967,28924
74,74,Steele,36612,5941,30671
81,81,McLeod,35816,6351,29465
66,66,Carlton,35408,5835,29573
15,15,Becker,33552,6518,27034
39,39,Nicollet,33477,4933,28544
71,71,Morrison,32880,5923,26957
9,9,Polk,31564,5500,26064
79,79,Freeborn,30619,6643,23976
29,29,Pine,29057,5489,23568
20,20,Cass,28810,6987,21823
43,43,Le Sueur,27810,4588,23222
61,61,Lyon,25789,3801,21988
63,63,Mille Lacs,25635,4487,21148
18,18,Brown,25243,5076,20167
48,48,Todd,24423,4924,19499
70,70,Meeker,23105,4255,18850
28,28,Nobles,21854,3382,18472
34,34,Wabasha,21490,4322,17168
6,6,Fillmore,20825,4180,16645
23,23,Hubbard,20743,4985,15758
33,33,Dodge,20485,2804,17681
26,26,Martin,20084,4462,15622
55,55,Waseca,18898,3108,15790
51,51,Houston,18709,3734,14975
68,68,Kanabec,15948,3080,12868
2,2,Aitkin,15841,4977,10864
11,11,Roseau,15537,2447,13090
46,46,Redwood,15430,3229,12201
12,12,Sibley,14888,2605,12283
64,64,Renville,14798,2979,11819
72,72,Pennington,14197,2448,11749
4,4,Faribault,13966,3114,10852
76,76,Wadena,13626,2871,10755
69,69,Koochiching,12776,2839,9937
19,19,Chippewa,12040,2446,9594
31,31,Cottonwood,11437,2538,8899
14,14,Watonwan,10936,2119,8817
82,82,Pope,10932,2505,8427
8,8,Lake,10578,2584,7994
25,25,Jackson,10104,2066,8038
47,47,Yellow Medicine,9930,1954,7976
84,84,Stevens,9759,1675,8084
85,85,Swift,9448,2017,7431
10,10,Rock,9433,1836,7597
62,62,Marshall,9397,1893,7504
35,35,Pipestone,9229,1883,7346
21,21,Clearwater,8824,1742,7082
5,5,Murray,8394,2063,6331
52,52,Lac qui Parle,6840,1736,5104
37,37,Norman,6589,1404,5185
0,0,Wilkin,6398,1177,5221
41,41,Grant,5923,1366,4557
60,60,Lincoln,5724,1401,4323
44,44,Mahnomen,5500,933,4567
67,67,Cook,5270,1378,3892
17,17,Big Stone,5039,1269,3770
42,42,Kittson,4384,1027,3357
1,1,Red Lake,4017,764,3253
53,53,Lake of the Woods,3841,846,2995
13,13,Traverse,3357,853,2504
